ID;Название лида;Обращение;Имя;Фамилия;Отчество;Имя, Фамилия;Дата рождения;Адрес;Улица, номер дома;Квартира, офис, комната, этаж;Населенный пункт;Район;Регион;Почтовый индекс;Страна;Рабочий телефон;Мобильный телефон;Номер факса;Домашний телефон;Номер пейджера;Телефон для рассылок;Другой телефон;Корпоративный сайт;Личная страница;Страница Facebook;Страница ВКонтакте;Страница LiveJournal;Микроблог Twitter;Другой сайт;Рабочий e-mail;Частный e-mail;E-mail для рассылок;Другой e-mail;Контакт Facebook;Контакт Telegram;Контакт ВКонтакте;Контакт Skype;Контакт Viber;Комментарии Instagram;Контакт Битрикс24 Network;Онлайн-чат;Контакт Открытая линия;Контакт ICQ;Контакт MSN/Live!;Контакт Jabber;Другой контакт;Связанный пользователь;Название компании;Должность;Комментарий;Стадия;Дополнительно о стадии;Товар;Цена;Количество;Возможная сумма;Валюта;Источник;Дополнительно об источнике;Доступен для всех;Ответственный;roistat;ИНН;Часовой пояс;Конечная цена контракта;Максимальная цена контракта;Регион;Срок поставки;Ссылка;Сумма гарантии;Документация(ссылки);Номер извещения;Источник;Тип;Кампания;Ключевая фраза;GOOGLE_ID;YANDEX_ID;Точка входа;Город;Запись звонка;РК;Содержание РК;Точка отправки формы;категория А;категория В;категория С;Условия поставки - отображаются в спецификации;Форма захвата;Новая строка;Дата извещения;Окончание подачи заявок;Рассмотрение заявок;Проведение аукциона;Площадка;Предмет закупки;Тип закупки;Список оборудования;Оборудование у клиента;Закупка по тендеру;Новое поле - логистам;Причина отказа по лиду;ya_client_id;ga_client_id;UF_CRM_SP_UNSUBSCR;В ЧЕМ ПРИЧИНА СЛИВА?;Instagram;GA_CID;VK_WZ;TelegramUsername_WZ;TelegramId_WZ;Avito_WZ;WhatsApp Group Id;Telegram Group Id;Часовой пояс (для фильтра);Товар;Услуга
3909;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖСТРОЙПРОЕКТ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 11041 от 07.09.2023г, за материалы. В том числе НДС (20%), 11 092.49 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7725366076    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3910;"ООО ""СТРОЙ СИСТЕМЫ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 19854/RUB от 25.08.2022г. за уплотнение. В т.ч. НДС 20% - 39 790,00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7725474730    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3911;"АО ""Север""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N 10596 от 29.08.2023 за насос WILO IL100/165-22/2-IE3 Сумма 288319-50 В т.ч. НДС  (20%) 48053-25;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7725491599    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3912;"ООО ""РОЛТ ИНЖИНИРИНГ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по Счет-договор N 162120343 от 18.05.2023 за СРЕДСТВО ДЛЯ ПРОМЫВКИ Сумма 10000-00 В т.ч. НДС (20%) 1666-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7726171136    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3913;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАСКЛИМАТ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 30854/RUB от 14.11.2023 за уплотнения из резины. В том числе НДС 20%, 8257.67 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7726366865    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3914;"ООО ""НОВОДАНИЛОВСКИЙ ДОМ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 2790 от 27.06.2022 г. за оборудование. В т. ч. НДС 20% - 77771.26 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7726387544    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3915;"ООО ""НЗНП ИНЖИНИРИНГ"" Р/С 40702810607000001619 АО ""Россельхозбанк""//БИК046015211";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;АВАНС 50 % ЗА ПОСТАВКУ ТЕПЛООБМЕННОГО АППАРАТА ОБОРУДОВАНИЯ НА ОСНОВАНИИ ДОГОВОРА №23/НИ1437 ОТ 07.09.2023, ПО СЧЕТУ №2326 ОТ 14.09.2023 СУММА 113485-50 В Т.Ч. НДС (20%) 18914-25;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7726464372    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3916;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЭЛИТ-СК""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 155109623 от 07.06.2022 за товар. В том числе НДС 20%, 27998.33 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7726715509    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3917;"ООО ""НФ ПИЭМ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по Счету №27778/RUB от 18.09.2023 за насос промывочный НПЦ-40Р, жидкость для промывки. Сумма 213502-50 В т.ч. НДС  (20%) 35583-75;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7726718355    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3918;"АО ""Бутовский комбинат""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 5889 от 10.05.2023г. за уплотнение. В том числе НДС 20.00 % - 17496.00 р.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727058655    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3919;"Департамент финансов города Москвы (ГБУ ""Автомобильные дороги ТиНАО"" л/с 2699242000931120)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"(244.000.2) Оплата за пластины по ГК от 06.10.2023 N196-23-223; УПД N231010-24 от 10.10.2023г; в т.ч. НДС (20%)-21868,45.";Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727198451    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3920;"ООО ""ТАРКЕТТ СОММЕР""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;За товары и работы по дог. TS-009-11(21) по сч. 146104311 от 30.12.21. В т.ч. НДС 192680.00 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727223490    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3921;"ТСЖ ""НА ОДЕССКОЙ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО СЧЕТУ № 9293 ОТ 30.08.2023 Г ЗА ПЛАСТИНУ ALFA LAVAL M6-M,  H-ПРОФИЛЬ, AISI 316, 0.5ММ В Т.Ч. НДС (20%) 12230-75;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727266461    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3922;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОД БЛОЧНЫХ КОНСТРУКЦИЙ И ТЕХНОЛОГИЙ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за уплотнение по счету 500114694 от 07.11.2022 г. В том числе НДС (20%), 82.50 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727281910    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3923;"ООО ""КОММЕРЦ-ПРО""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 4600 от 12.05.2023г. Сумма 63525-00 В т.ч. НДС  (20%) 10587-50;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727289980    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3924;"ООО ""ВЫСОТА""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за реагент по Счету № 9513 от 02.08.2023 Сумма 144700-00 В т.ч. НДС  (20%) 24116-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727294638    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3925;"Общество с ограниченной ответственностью ""Торговый дом Юнимарт 24""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за строительные материалы по счету №11154 от 10.10.2022 69173-52 руб. В т.ч. НДС (20%) 11528-92;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727298022    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3926;"ООО ""ЭРКОН""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 242127441 от 22 декабря 2023 г. 51400-00 руб. В т.ч. НДС (20%) 8566-67 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727391286    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3927;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХСНАБ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету 194119251 от 14/06/23 за аппарат пластинчатый В том числе НДС 20%, 20486.67 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727399670    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3928;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОНТАЖ ЭКСПЛУАТАЦИЯ ИНЖЕНЕРНЫХ СЕТЕЙ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;оплата за насосную станцию по счету 11587 от 27 октября 2022 г. В т.ч. НДС 20%, 81468.63 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727405242    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3929;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСВОРК""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету N 156119697 от 25.04.2023 г. В том числе НДС 20%, 19244.00 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727432447    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3930;"ООО ""ВОСТСИБГЛОБАЛ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО СЧЕТУ № 29893/RUB ОТ 03.10.2023 Г. ЗА СТРОЙМАТЕРИАЛЫ СУММА 10269-50 В Т.Ч. НДС (20%) 1711-58;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727432687    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3931;"ООО ""ТЦ ЛАРЕЦ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету №6369 от 16.06.2022г. за насосное оборудование для промывки системы отопления. В т.ч. НДС 20% - 14758.00 р..;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727455726    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3932;"ООО УК ""ФЕМЕЛИ ЛАЙФ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по договору Счет-договор №194124032 от 29.08.2023 за уплотнение Сумма 15435-00 В т.ч. НДС  (20%) 2572-50;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727474648    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3933;"ООО ""ИМПЕРИЯ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 7159 от 07 июня 2023 г. за насосы и комплектующие. В том числе НДС 20 % - 53281.92 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727479501    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3934;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЭЙВИ ГРУП""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;з/К Оплата по счету N194115415 от 30.11.22 за аппарат пластичный Сумма 93708-00 В т.ч. НДС (20%) 15618-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727483650    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3935;"ЗАО ""РУСТОКМАШ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ЗА УПЛОТНЕНИЕ И ПЛАСТИНУ ПРОМЕЖУТОЧНЫЕ, СОГЛАСНО СЧЕТА № 16437/RUB ОТ 03.02.2022Г. СУММА 15334-00 В Т.Ч. НДС (20%) 2555-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727529784    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3936;"ООО ""БС-групп Сервис""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету №13798 от 15.11.2023 за Funke GPLK60-80 Сумма 198681-60 В т.ч. НДС  (20%) 33113-60;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727670804    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3937;"Общество с ограниченной ответственностью ""МЭРИТ-СЕРВИС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;оплата по счету 19582/RUB от 11 августа 2022 г за НАСОС ПРОМЫВОЧНЫЙ ЦИРКУЛЯЦИОННЫЙ НПЦ-60. В том числе НДС 20%, 12400.00 руб.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727779960    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3938;"ООО ""ВЛАДИМИРСКАЯ ПИВОВАРНЯ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Платеж по счету No231114239 от 31.10.2022 г. за зап.части В том числе НДС 20% 5881.33;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7727849135    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3939;"ООО ""НИКОЛИЕРС"" Р/С 40702810800160000450 Банк ВТБ (ПАО)//БИК044525411";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛАТА ПО СЧЕТУ № 1973 ОТ 07.07.2023 Г., РАСХОДНИКИ. СУММА 66248-00 В Т.Ч. НДС (20%) 11041-33;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7728150075    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3940;"ООО ""Абсолют Страхование""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<670021568> Страховое возмещение по накладной 23-03511055783 ООО ""Деловые Линии"" У-001-326388/23 от 04.07.2023, без НДС";Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7728178835    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3941;"ТСЖ ""ЮГО-ЗАПАД""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету 8785 от 13,07,2023 за уплотнения В том числе НДС 20 % - 10187.50 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7728251718    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3942;Фонд ФСРО;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;За товар согласно счета № 17816/RUB от 16.05.2022 года. В том числе НДС 4 280.00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7728320792    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3943;"ООО ""Кристал Индастриал""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 12949 от 30.11.2022 за насос. Сумма 198778-40 В т.ч. НДС  (20%) 33129-74;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7728444974    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3944;"ООО ""ПИШ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 197109739 от 01.06.2022г. за уплотнение и клей.  Сумма 53820-00 В т.ч. НДС  (20%) 8970-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7728489661    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3945;"ООО ""БУТИК КУРУЧАЙ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Оплата по Счету №29554/RUB от 19-09-2023 за Консольно- моноблочный насос ""Conforto"" N 65-160 C 400/690- 50 HP 12.5, 9.5 kWв т.ч. НДС 20% 114094.11";Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7728736430    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3946;"ООО ""ЭЛИТ ХАУС""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата счёта №8284 от 21 октября 2022 г. за  Оборудование насосное: Элиминейтор  компрессор Pipal Промыватор Пульсатор. В том числе НДС 13878,80 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7728745932    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3947;"ООО ""ВЕКТОР СБ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 7619 от 16.06.23 и № 7896 от 22.06.23 за насосы WILO. В том числе НДС 20 % - 391841.10 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7728764621    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3948;"ООО ""НПО АВТОКЛАВЫ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Предоплата 50% по счету N 256113203 от 27.03.2023 за аппарат пластинчатый Сумма 532298-00 В т.ч. НДС (20%) 88716-33;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7728831677    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3949;"ТСЖ ""КВАРТ-13"" Р/С 40703810438180134024 ПАО Сбербанк//БИК044525225";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛ. ПО СЧЁТУ №2066 ОТ 27.07.2023Г. УПЛОТНЕНИЕ М6 EPDM В КОЛИЧЕСТВЕ 37 ШТ. В Т.Ч. НДС 20 % - 2374.17 РУБ.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7729439832    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3950;"ООО ""ТЕПЛОКОМ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ОПЛ. ПО СЧЕТУ N 156120538 ОТ 24.05.2023 ЗА УПЛОТНЕНИЕ, ПРОКЛАДКИ. В Т.Ч. НДС 20 % - 13081.67 РУБ.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7729447696    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3951;"ООО ""Бест Панорамик""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 2371 от 10.03.2022г. В том числе НДС 20 % - 30289.91 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7729448315    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3952;"ООО ПК ""ПОЛИ-ГРУПП""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по сч. 31002/RUB от 29.11.23 за насос, согласно договора №38/П от 29.11.2023. ИГК 001000213920PAF0000620017 и ОКС 286610101001210002. В т.ч. НДС  (20%) 12921-19;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7729494390    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3953;"ООО ""УКС Широта""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 155123376 от 08.08.23 г. за строительные материалы  В том числе НДС 49352.33;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7729604300    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3954;"ООО ""ШТАРК""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата за товар по Счет № 4824 от 13.04.2023 Сумма 104790-00 В т.ч. НДС (20%) 17465-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7729627875    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3955;"ООО ""ВИС ГРУПП""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 10209 от 18.08.23 - уплотнение S100 EPOM Сумма 114750-00 В т.ч. НДС  (20%) 19125-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7729704696    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3956;"ООО ""ВЕЛНА ОТЕЛЬ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по сч. 179106947 от 14.03.2022г. уплотнение, клей В т.ч. НДС (20.00%): 3356-58;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7729719420    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3957;"АО ""ЦДТ на Ленинском""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счет-договору N 146120459 от 23.05.2023г. Клей для уплотнений, банка,1л Сумма 4630-00 В т.ч. НДС (20%) 771-67;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7729761197    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3958;"ООО ""ОМОЛОН""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата по счету № 9524 от 02.08.2023 Сумма 33060-00 В т.ч. НДС (20%) 5510-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7729770339    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3959;ООО САНТЕХТОРГСЕРВИС;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Опла по счету № 4185 от 19 апреля 2022 г. В том числе НДС 20 % - 11916.67 рублей.;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7730076936    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3960;"Общество с ограниченной ответственностью ""Свод Интернешнл""//Д.У.// р/с 40701810102070002003 в Ф-Л БАНКА ГПБ (АО) ""ЮЖНЫЙ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Оплата аванса по счету N194105198 от 17.03.2022 за пластины и уплотнения по дог. N 752-22/Р от 17.03.2022Сумма 924000-00 В т.ч. НДС(20%) 154000-00;Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7730163480    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3961;"Общество с ограниченной ответственностью ""СпецСтрой""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Сч. 15046 от 13.12.23; Оплата по дог.СС-31/23-П от 15.12.2023  за насос, пульт управления и дренажный насос Сумма 264710-40 В т.ч. НДС  (20%) 44118-40";Импорт лидов;;;;;;;Клиенты конкурентов;;;;;7730169740    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
